"SIIIR","Denumire","Categorie","SIRUTA","Localitate","Judet"
"2861100689","LICEUL TEHNOLOGIC ""MATEI BASARAB"" CARACAL","Liceu",125481,"CARACAL","OT"
"2861101057","LICEUL TEHNOLOGIC ""ION POPESCU-CILIENI"" CILIENI","Liceu tehnologic / Școală profesională",126157,"CILIENI","OT"
"2861104657","LICEUL TEHNOLOGIC ""DANUBIUS"" CORABIA","Liceu",125551,"CORABIA","OT"
"2861101401","ȘCOALA GIMNAZIALĂ ""VIRGIL MAZILESCU"" CORABIA","Școală gimnazială",125551,"CORABIA","OT"
"2861100187","LICEUL TEHNOLOGIC CRÂMPOIA","Liceu tehnologic / Școală profesională",126415,"CRÂMPOIA","OT"
"2861100011","LICEUL TEHNOLOGIC DRĂGĂNEȘTI-OLT","Liceu tehnologic / Școală profesională",125631,"DRĂGĂNEŞTI-OLT","OT"
"2861100504","LICEUL TEHNOLOGIC IANCU JIANU","Liceu tehnologic / Școală profesională",127297,"IANCU JIANU","OT"
"2861100169","LICEUL TEHNOLOGIC IZVOARELE","Liceu tehnologic / Școală profesională",127395,"IZVOARELE","OT"
"2861100029","LICEUL TEHNOLOGIC PIATRA-OLT","Liceu",128114,"PIATRA-OLT","OT"
"2861101315","LICEUL ""ȘTEFAN DIACONESCU"" POTCOAVA","Liceu",128383,"POTCOAVA","OT"
"2861100142","LICEUL TEHNOLOGIC ""CONSTANTIN BRÎNCOVEANU"" SCORNICEȘTI","Liceu tehnologic / Școală profesională",128720,"SCORNICEŞTI","OT"
"2861101324","LICEUL TEHNOLOGIC ""ALEXE MARIN"" SLATINA","Liceu",125356,"SLATINA","OT"
"2861104598","LICEUL TEHNOLOGIC METALURGIC SLATINA","Liceu tehnologic / Școală profesională",125356,"SLATINA","OT"
"2861100445","LICEUL TEHNOLOGIC ""P.S.AURELIAN"" SLATINA","Școală profesională / Învățământ dual",125356,"SLATINA","OT"
"2861100083","ȘCOALA GIMNAZIALĂ NR.1 SLATINA","Școală gimnazială",125356,"SLATINA","OT"
"2861100807","LICEUL TEHNOLOGIC TUFENI","Liceu",129594,"TUFENI","OT"
"2861104639","LICEUL TEHNOLOGIC VĂLENI","Școală profesională / Învățământ dual",129772,"VĂLENI","OT"
"2861100106","LICEUL TEHNOLOGIC VITOMIREȘTI","Liceu tehnologic / Școală profesională",129923,"VITOMIREŞTI","OT"
"2961102147","ȘCOALA PROFESIONALĂ , COMUNA BĂLȚEȘTI","Școală profesională / Învățământ dual",132280,"BĂLŢEŞTI","PH"
"2961101883","LICEUL TEHNOLOGIC AGRICOL, COMUNA BĂRCĂNEȘTI","Liceu tehnologic / Școală profesională",130561,"BĂRCĂNEŞTI","PH"
"2961101693","LICEUL TEHNOLOGIC ""TEODOR DIAMANT"", ORAȘUL BOLDEȘTI-SCĂENI","Liceu tehnologic / Școală profesională",131078,"BOLDEŞTI-SCĂENI","PH"
"2961101752","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ, ORAȘUL BREAZA","Centru special de educație incluzivă",131121,"BREAZA DE SUS","PH"
"2961102405","COLEGIUL ""ION KALINDERU"", ORAȘUL BUȘTENI","Colegiu",131229,"BUŞTENI","PH"
"2961100267","COLEGIUL TEHNIC FORESTIER, MUNICIPIUL CÂMPINA","Liceu tehnologic / Școală profesională",131265,"CÂMPINA","PH"
"2961107401","LICEUL TEHNOLOGIC ""CONSTANTIN ISTRATI"", MUNICIPIUL CÂMPINA","Liceu",131265,"CÂMPINA","PH"
"2961107107","LICEUL TEHNOLOGIC ENERGETIC, MUNICIPIUL CÂMPINA","Liceu tehnologic / Școală profesională",131265,"CÂMPINA","PH"
"2961102952","LICEUL TEHNOLOGIC MECANIC, MUNICIPIUL CÂMPINA","Liceu",131265,"CÂMPINA","PH"
"2961107306","ȘCOALA PROFESIONALĂ, COMUNA CERAȘU","Liceu tehnologic / Școală profesională",132583,"CERAŞU","PH"
"2961103089","LICEUL TEHNOLOGIC, SAT CIORANII DE JOS, COMUNA CIORANI","Liceu tehnologic / Școală profesională",132690,"CIORANII DE JOS","PH"
"2961102744","LICEUL ""SIMION STOLNICU"", ORAȘUL COMARNIC","Liceu",131345,"COMARNIC","PH"
"2961102495","LICEUL TEORETIC, COMUNA FILIPEȘTII DE PĂDURE","Liceu",133170,"FILIPEŞTII DE PĂDURE","PH"
"2961102925","COLEGIUL ""FERDINAND I"", COMUNA MĂNECIU","Colegiu",134103,"MĂNECIU-UNGURENI","PH"
"2961103008","LICEUL TEHNOLOGIC ""TASE DUMITRESCU"", ORAȘUL MIZIL","Liceu tehnologic / Școală profesională",131416,"MIZIL","PH"
"2961100258","CENTRUL ȘCOLAR DE EDUCAȚIE INCLUZIVĂ NR.1, MUNICIPIUL PLOIEȘTI","Centru de Educație Incluzivă",130543,"PLOIEŞTI","PH"
"2961102979","COLEGIUL ECONOMIC ""VIRGIL MADGEARU"", MUNICIPIUL PLOIEȘTI","Colegiu",130543,"PLOIEŞTI","PH"
"2961102839","COLEGIUL ""SPIRU HARET"", MUNICIPIUL PLOIEȘTI","Colegiu",130543,"PLOIEŞTI","PH"
"2961102771","LICEUL TEHNOLOGIC ADMINISTRATIV ȘI DE SERVICII ""VICTOR SLĂVESCU"", MUNICIPIUL PLOIEȘTI","Liceu tehnologic / Școală profesională",130543,"PLOIEŞTI","PH"
"2961102848","LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"", MUNICIPIUL PLOIEȘTI","Liceu",130543,"PLOIEŞTI","PH"
"2961107161","LICEUL TEHNOLOGIC DE SERVICII ""SFÂNTUL APOSTOL ANDREI"", MUNICIPIUL PLOIEȘTI","Liceu",130543,"PLOIEŞTI","PH"
"2961102278","LICEUL TEHNOLOGIC DE TRANSPORTURI, MUNICIPIUL PLOIEȘTI","Școală profesională / Învățământ dual",130543,"PLOIEŞTI","PH"
"2961102821","LICEUL TEHNOLOGIC ENERGETIC ""ELIE RADU"", MUNICIPIUL PLOIEȘTI","Liceu",130543,"PLOIEŞTI","PH"
"2961101847","LICEUL TEHNOLOGIC ""LAZĂR EDELEANU"", MUNICIPIUL PLOIEȘTI","Liceu",130543,"PLOIEŞTI","PH"
"2961102129","LICEUL TEHNOLOGIC ""TOMA SOCOLESCU"", MUNICIPIUL PLOIEȘTI","Liceu",130543,"PLOIEŞTI","PH"
"2961107437","LICEUL TEHNOLOGIC ""1 MAI"", MUNICIPIUL PLOIEȘTI","Liceu tehnologic / Școală profesională",130543,"PLOIEŞTI","PH"
"2961107283","ȘCOALA GIMNAZIALĂ ""TOMA CARAGIU"", MUNICIPIUL PLOIEȘTI","Școală gimnazială",130543,"PLOIEŞTI","PH"
"2961102798","LICEUL ""CAROL I "", ORAȘUL PLOPENI","Liceu",131452,"PLOPENI","PH"
"2961102893","ȘCOALA PROFESIONALĂ SPECIALĂ, ORAȘUL PLOPENI","Liceu tehnologic / Școală profesională",131452,"PLOPENI","PH"
"2961102441","ȘCOALA PROFESIONALĂ, COMUNA SÂNGERU","Liceu tehnologic / Școală profesională",135253,"SÂNGERU","PH"
"2961102658","COLEGIUL ""MIHAIL CANTACUZINO"", ORAȘUL SINAIA","Colegiu",131559,"SINAIA","PH"
