"siiir","denumire","categorie","siruta","localitate","judet"
"1061104744","LICEUL CU PROGRAM SPORTIV ""IOLANDA BALAŞ ŞOTER"" MUNICIPIUL BUZĂU","Liceu","44827","BUZĂU","BZ"
"1061104667","LICEUL DE ARTE ""MARGARETA STERIAN"" MUNICIPIUL BUZĂU","Liceu","44827","BUZĂU","BZ"
"1061104658","LICEUL SPECIAL PENTRU DEFICIENȚI DE VEDERE MUNICIPIUL BUZĂU","Liceu","44827","BUZĂU","BZ"
"1061104518","LICEUL TEHNIC MUNICIPIUL BUZĂU","Liceu tehnologic / Școală profesională","44827","BUZĂU","BZ"
"1061104812","LICEUL TEHNOLOGIC DE MESERII ȘI SERVICII MUNICIPIUL BUZĂU","Liceu tehnologic / Școală profesională","44827","BUZĂU","BZ"
"1061106633","LICEUL TEHNOLOGIC ""DIMITRIE FILIPESCU"" MUNICIPIUL BUZĂU","Liceu tehnologic / Școală profesională","44827","BUZĂU","BZ"
"1061104988","LICEUL TEHNOLOGIC ""GRIGORE C. MOISIL"" MUNICIPIUL BUZĂU","Liceu tehnologic / Școală profesională","44827","BUZĂU","BZ"
"1061105044","LICEUL TEHNOLOGIC"" HENRI COANDĂ"" MUNICIPIUL BUZĂU","Liceu tehnologic / Școală profesională","44827","BUZĂU","BZ"
"1061104251","LICEUL TEHNOLOGIC SPECIAL PENTRU COPII CU DEFICIENȚE AUDITIVE MUNICPIUL BUZĂU","Liceu tehnologic / Școală profesională","44827","BUZĂU","BZ"
"1061104287","LICEUL TEORETIC ""ALEXANDRU MARGHILOMAN"" MUNICIPIUL BUZĂU","Liceu","44827","BUZĂU","BZ"
"1061104907","SEMINARUL TEOLOGIC ORTODOX ""CHESARIE EPISCOPUL"" MUNICIPIUL BUZĂU","Liceu","44827","BUZĂU","BZ"
"1061104753","LICEUL TEHNOLOGIC COMUNA LOPĂTARI","Liceu tehnologic / Școală profesională","47195","LOPĂTARI","BZ"
"1061104572","LICEUL TEHNOLOGIC, SAT MĂRGĂRIŢI COMUNA BECENI","Liceu tehnologic / Școală profesională","45085","MĂRGĂRIŢI","BZ"
"1061104111","LICEUL TEORETIC ""NICOLAE IORGA"" ORAŞ NEHOIU","Liceu","47925","NEHOIU","BZ"
"1061104165","LICEUL TEHNOLOGIC ORAŞ PĂTÂRLAGELE","Liceu","48334","PĂTÂRLAGELE","BZ"
"1061104043","LICEUL TEORETIC ""RADU VLĂDESCU"" ORAŞ PĂTÂRLAGELE","Liceu","48334","PĂTÂRLAGELE","BZ"
"1061104875","LICEUL TEHNOLOGIC ""I. A. RĂDULESCU POGONEANU"" ORAŞ POGOANELE","Liceu tehnologic / Școală profesională","48753","POGOANELE","BZ"
"1061104717","LICEUL TEORETIC ORAŞ POGOANELE","Liceu","48753","POGOANELE","BZ"
"1061104156","CENTRUL ŞCOLAR DE EDUCAŢIE INCLUZIVĂ MUNICIPIUL RÎMNICU SĂRAT","Centru de Educație Incluzivă","44854","RÂMNICU SĂRAT","BZ"
"1061104355","COLEGIUL NAŢIONAL ""ALEXANDRU VLAHUŢĂ"" MUNICIPIUL RÎMNICU SĂRAT","Colegiu","44854","RÂMNICU SĂRAT","BZ"
"1061106321","LICEUL TEHNOLOGIC ECONOMIC ""ELINA MATEI BASARAB"" MUNICIPIUL RÎMNICU SĂRAT","Liceu tehnologic / Școală profesională","44854","RÂMNICU SĂRAT","BZ"
"1061104364","LICEUL TEHNOLOGIC ""VICTOR FRUNZĂ"" MUNICIPIUL RÎMNICU SĂRAT","Liceu tehnologic / Școală profesională","44854","RÂMNICU SĂRAT","BZ"
"1061104147","LICEUL TEORETIC ""ŞTEFAN CEL MARE"" MUNICIPIUL RÂMNICU SĂRAT","Liceu","44854","RÂMNICU SĂRAT","BZ"
"1061104599","LICEUL TEHNOLOGIC COMUNA RUŞEŢU","Liceu tehnologic / Școală profesională","49055","RUŞEŢU","BZ"
"1061105053","LICEUL TEHNOLOGIC AGRICOL COMUNA SMEENI","Liceu tehnologic / Școală profesională","49554","SMEENI","BZ"
"1061104649","LICEUL TEHNOLOGIC COMUNA VERNEŞTI","Liceu","50111","VERNEŞTI","BZ"
"1261102992","ȘCOALA GIMNAZIALĂ ""ȘTEFAN PASCU"" APAHIDA","Școală gimnazială","55696","APAHIDA","CJ"
"1261103491","COLEGIUL TEHNIC ""VICTOR UNGUREANU"" CÂMPIA TURZII","Colegiu","55366","CÂMPIA TURZII","CJ"
"1261103396","LICEUL TEORETIC ""PAVEL DAN"" CÂMPIA TURZII","Liceu","55366","CÂMPIA TURZII","CJ"
"1261104899","COLEGIUL DE MUZICĂ ""SIGISMUND TODUȚĂ"" CLUJ-NAPOCA","Colegiu","54984","CLUJ-NAPOCA","CJ"
"1261102825","COLEGIUL DE SERVICII ÎN TURISM ""NAPOCA"" CLUJ-NAPOCA","Școală postliceală","54984","CLUJ-NAPOCA","CJ"
"1261103197","COLEGIUL ECONOMIC ""IULIAN POP"" CLUJ-NAPOCA","Liceu tehnologic / Școală profesională","54984","CLUJ-NAPOCA","CJ"
"1261105023","COLEGIUL NAȚIONAL ""EMIL RACOVIȚĂ"" CLUJ-NAPOCA","Colegiu","54984","CLUJ-NAPOCA","CJ"
"1261102567","COLEGIUL NAȚIONAL ""GEORGE BARIȚIU"" CLUJ-NAPOCA","Colegiu","54984","CLUJ-NAPOCA","CJ"
"1261103939","COLEGIUL NAȚIONAL ""GEORGE COȘBUC"" CLUJ-NAPOCA","Colegiu","54984","CLUJ-NAPOCA","CJ"
"1261103473","COLEGIUL NAȚIONAL ""GHEORGHE ȘINCAI"" CLUJ-NAPOCA","Colegiu","54984","CLUJ-NAPOCA","CJ"
"1261102703","COLEGIUL NAȚIONAL PEDAGOGIC ""GHEORGHE LAZĂR"" CLUJ-NAPOCA","Colegiu","54984","CLUJ-NAPOCA","CJ"
"1261102635","COLEGIUL TEHNIC ""ANA ASLAN"" CLUJ-NAPOCA","Școală postliceală","54984","CLUJ-NAPOCA","CJ"
"1261103274","COLEGIUL TEHNIC ""ANGHEL SALIGNY"" CLUJ-NAPOCA","Școală postliceală","54984","CLUJ-NAPOCA","CJ"
"1261103975","COLEGIUL TEHNIC DE COMUNICAȚII ""AUGUSTIN MAIOR"" CLUJ-NAPOCA","Colegiu","54984","CLUJ-NAPOCA","CJ"
